name,tags,score,lat,lon
Автотренд,"['Автосервис, автотехцентр']","4,3",38.053805,54.897075
СТО-Независимость,"['Автосервис, автотехцентр']","4,9",38.059932,54.899004
ExpressDetaiL,"['Магазин автозапчастей и автотоваров', 'шины и диски']","4,8",38.064287,54.894622
ШинПрофАвто,"['Автосервис, автотехцентр']","4,8",38.144749,54.825955
Роснефть,,,38.03974,54.850512
Роснефть,,,38.002605,54.915311
Quick Service,"['Автосервис, автотехцентр']","5,0",38.105307,54.886277
2bparts.ru,"['Магазин автозапчастей и автотоваров', 'шины и диски']","4,7",38.086054,54.885832
Autodoc.ru,['Магазин автозапчастей и автотоваров'],"4,8",38.069908,54.891353
Механика,"['Автосервис, автотехцентр']","4,9",38.039983,54.893888
Shinsei,"['Шиномонтаж', 'детейлинг']","4,8",38.069884,54.893099
Автомаляр-кузовщик Гусев Евгений,"['Автосервис, автотехцентр']","4,2",38.093728,54.890618
Рулевой,"['Магазин автозапчастей и автотоваров', 'смазочные материалы']","4,7",38.168402,54.830307
АвтоПаскер,['Магазин автозапчастей и автотоваров'],"4,4",38.073712,54.899951
Китаянка,"['Магазин автозапчастей и автотоваров', 'автосервис, автотехцентр']","4,6",38.071317,54.901653
Allgears,"['Магазин автозапчастей и автотоваров', 'шины и диски']","4,3",38.07053,54.88031
Auto-shop,"['Магазин автозапчастей и автотоваров', 'смазочные материалы']","4,7",38.244882,54.837311
Авто-Тема,"['Автосервис, автотехцентр']","4,7",38.047784,54.893841
Кэмп 103,['Магазин автозапчастей и автотоваров'],"4,3",38.063051,54.879581
Тест Драйв-Ст,"['Автосервис, автотехцентр']","4,6",38.058467,54.899318
Mobil 1,"['Автосервис, автотехцентр']","4,7",38.047422,54.89433
Алан+,"['Автосервис, автотехцентр']","4,4",38.148662,54.820496
Top Speed,"['Магазин автозапчастей и автотоваров', 'автосервис, автотехцентр']","4,7",38.04382,54.893597
Сервис-Авто,"['Магазин автозапчастей и автотоваров', 'автоаксессуары']","4,2",38.090976,54.891794
АвтоТехЦентр,"['Автосервис, автотехцентр']","4,3",38.07371,54.899911
Автодока,"['Магазин автозапчастей и автотоваров', 'шиномонтаж']","4,8",38.144103,54.819274
Роснефть,,,38.11844,54.92589
Интеройл,,,38.054801,54.816639
Хорошие-шины.рф,['Шины и диски'],"4,7",38.07493,54.89913
Техцентр 03+,"['Автосервис, автотехцентр']","4,7",38.120687,54.875503
СТО,"['Автосервис, автотехцентр']","4,4",38.10357,54.888004
Автосервис Академик,"['Автосервис, автотехцентр']","4,8",38.07547,54.910267
King Leo,"['Автосервис, автотехцентр']","4,7",38.110704,54.81557
Лукойл,,,38.105018,54.787721
Радист-гараж,"['Автосервис, автотехцентр']","4,7",38.149671,54.839437
Малярычъ,"['Автосервис, автотехцентр']","4,4",38.058846,54.915514
Автосервис № 1,"['Автосервис, автотехцентр']","4,4",38.051917,54.896459
РиВАр,"['Автосервис, автотехцентр']","4,4",38.061965,54.904304
Автозапчасти,['Магазин автозапчастей и автотоваров'],"4,3",38.06851,54.892275
Автосервис,"['Автосервис, автотехцентр']","4,7",38.236326,54.857455
Ахилесавто,['Магазин автозапчастей и автотоваров'],"4,1",38.090865,54.891763
Avtomarket,"['Магазин автозапчастей и автотоваров', 'автосервис, автотехцентр']","4,3",38.14474,54.824563
Avtomix,"['Автосервис, автотехцентр']","4,4",38.160963,54.824938
Детали машин ГАЗ,['Магазин автозапчастей и автотоваров'],"4,4",38.237913,54.851874
Yulsun.ru,"['Магазин автозапчастей и автотоваров', 'шины и диски']","4,3",38.191623,54.843637
Зона Ремонта,"['Автосервис, автотехцентр']","4,4",38.04529,54.89438
Магазин автозапчастей и автотоваров,['Магазин автозапчастей и автотоваров'],"4,2",38.150979,54.821949
Дакар,"['Автосервис, автотехцентр']","4,4",38.03731,54.896956
Автобрат,['Магазин автозапчастей и автотоваров'],"4,1",38.150104,54.842422
Гараж,"['Автосервис, автотехцентр']","4,1",38.067852,54.89663
Лукойл,,,38.113008,54.78614
Вианор,"['Автосервис, автотехцентр']","4,5",38.040859,54.894435
Вианор,['Шины и диски'],"4,6",38.040859,54.894435
ШинПрофАвто,"['Шиномонтаж', 'пункт выдачи']","4,7",38.072617,54.901155
Автотехцентр и Шиномонтаж,"['Автосервис, автотехцентр']","4,3",38.088214,54.896281
Exist.ru,['Автоаксессуары'],"4,2",38.074897,54.899061
АВК,['Шиномонтаж'],"4,6",38.185793,54.837551
Лихач,['Магазин автозапчастей и автотоваров'],"4,4",38.060852,54.898034
Авто СТ,"['Автосервис, автотехцентр']","4,3",38.065742,54.899104
Puzzle Car,"['Магазин автозапчастей и автотоваров', 'садовый инвентарь и техника']","4,2",38.092637,54.883826
Питстоп. Шиномонтаж,"['Шиномонтаж', 'автосервис, автотехцентр']","4,4",38.086648,54.899081
Тд-Моторс,"['Автосервис, автотехцентр']","4,2",38.051881,54.89661
Autolife,['Магазин автозапчастей и автотоваров'],"4,3",38.059572,54.89713
