name,tags,score,lat,lon
OldBoy,"['Барбершоп', 'парикмахерская']","5,0",38.053793,54.885387
GalyaMark,"['Салон красоты', 'ногтевая студия']","5,0",38.053636,54.885366
Osoba,['Салон красоты'],"5,0",38.054648,54.880241
Лотос и лилия,['Салон красоты'],"5,0",38.064279,54.887976
Bond Luxury Studio,"['Салон красоты', 'солярий']","4,8",38.148764,54.836487
Место Маникюра,"['Ногтевая студия', 'салон бровей и ресниц']","5,0",38.073252,54.887377
ЭстетикЛаб,"['Косметология', 'эпиляция']","5,0",38.06889,54.880351
Жаклин,['Салон красоты'],"4,6",38.153441,54.835109
Локон,"['Парикмахерская', 'салон красоты']","4,0",38.146841,54.871171
Anna Serova,"['Салон красоты', 'солярий']","4,8",38.070006,54.879698
Michelle,"['Ногтевая студия', 'парикмахерская']","4,6",38.084831,54.885186
Полина,"['Салон красоты', 'косметология']","4,4",38.060839,54.884441
Глянец,"['Салон красоты', 'ногтевая студия']","4,8",38.241138,54.842942
Лина,"['Салон красоты', 'парикмахерская']","4,7",38.053937,54.880959
Beauty Salon Натальи Гусевой,"['Салон красоты', 'ногтевая студия']","4,4",38.084997,54.891114
Прикосновение,['Салон красоты'],"4,6",38.05399,54.88182
Имидж,['Салон красоты'],"4,4",38.07351,54.887372
Персона Style,['Салон красоты'],"4,3",38.087149,54.889656
Преображение,"['Спа-салон', 'салон красоты']","4,6",38.239672,54.844536
Креативprof,"['Салон красоты', 'парикмахерская']","4,4",38.062508,54.891533
Академия красоты Sity,['Обучение мастеров для салонов красоты'],"4,6",38.078802,54.887506
Black & White Beauty Bar,"['Салон красоты', 'парикмахерская']","4,5",38.060225,54.883462
Caramel,['Салон красоты'],"4,4",38.055767,54.881608
Диана,['Салон красоты'],"4,3",38.075741,54.887185
"Oh, my Nails Studio!","['Ногтевая студия', 'салон красоты']","4,2",38.188916,54.856619
Aladyshka_hair_studio,"['Салон красоты', 'визажисты, стилисты']","4,4",38.197828,54.838968
BarberMan,"['Барбершоп', 'парикмахерская']","5,0",38.072111,54.889886
Авиатор,"['Парикмахерская', 'салон красоты']","4,3",38.157722,54.876726
Brut man,"['Барбершоп', 'салон красоты']","4,8",38.077833,54.898053
Asteria,['Салон красоты'],"4,3",38.15125,54.833064
Жемчуг,"['Салон красоты', 'ногтевая студия']","4,3",38.068046,54.888622
Kleo-nail,"['Ногтевая студия', 'салон красоты']","4,4",38.079137,54.897097
Golden swan,"['Косметология', 'ногтевая студия']","4,3",38.070679,54.891283
Цирюльник,['Барбершоп'],"4,5",38.07024,54.879455
Клуб красивых волос,['Салон красоты'],"4,3",38.054777,54.881207
Secret Beauty,"['Студия перманентного макияжа', 'салон красоты']","4,3",38.079214,54.897236
Парикмахерская,['Парикмахерская'],"4,3",38.182466,54.854484
Венеция,"['Салон красоты', 'парикмахерская']","4,3",38.244284,54.850052
Каприз,['Салон красоты'],"4,1",38.15181,54.835603
Виктория,['Салон красоты'],"4,1",38.069021,54.880669
Glamour,['Парикмахерская'],"4,3",38.062774,54.887374
Садко,['Парикмахерская'],"4,2",38.079123,54.893757
Ногти здесь!,"['Ногтевая студия', 'салон красоты']","4,3",38.054948,54.882075
Для Вас,"['Парикмахерская', 'ногтевая студия']","4,1",38.061397,54.887787
Идеал,['Салон красоты'],"4,1",38.065966,54.889107
Вера,"['Парикмахерская', 'салон красоты']","3,9",38.192236,54.838456
Хит,"['Салон красоты', 'ногтевая студия']","3,8",38.150001,54.833677
Ля Руж,['Салон красоты'],"3,5",38.078657,54.898283
Vesna,['Салон красоты'],"3,8",38.064834,54.891394
Beauty,['Салон красоты'],"3,4",38.245392,54.842474
Маникюр Акри,['Ногтевая студия'],"4,3",38.131801,54.875575
Валентина,['Парикмахерская'],"4,3",38.072493,54.887413
Студия мужских стрижек,"['Парикмахерская', 'барбершоп']","4,3",38.198124,54.839133
Paws Nails,['Ногтевая студия'],"4,4",38.243447,54.850391
Тип-Топ,['Парикмахерская'],"4,3",38.052698,54.885613
Зефир,['Ногтевая студия'],"4,9",38.052513,54.885432
Весенний вернисаж,['Парикмахерская'],"4,3",38.064026,54.890337
Pretty Woman,['Салон красоты'],"4,4",38.249483,54.848147
Стилист,['Салон красоты'],"4,1",38.087913,54.889044
Барбершефф,"['Барбершоп', 'парикмахерская']","4,7",38.062906,54.891149
Черная Кость,"['Барбершоп', 'парикмахерская']","4,1",38.078204,54.88948
Lakrizza,['Ногтевая студия'],"4,3",38.055501,54.881106
Авангард стиль,['Парикмахерская'],"4,0",38.077922,54.887253
Karinanailartmaster,['Ногтевая студия'],"4,8",38.259453,54.79279
Колибри,['Парикмахерская'],"4,4",38.07385,54.88975
J. E. M,['Парикмахерская'],"4,4",38.075319,54.883374
Престиж,"['Парикмахерская', 'салон красоты']","3,9",38.151293,54.834274
Студия Светланы Киселёвой,"['Косметология', 'салон бровей и ресниц']","4,5",38.072102,54.88978
Малина,['Косметология'],,38.086765,54.890002
Карина,['Парикмахерская'],"4,3",38.087893,54.889011
Берлога,['Барбершоп'],"4,8",38.245343,54.84166
Надежда,"['Парикмахерская', 'салон красоты']","3,0",38.150459,54.833663
Престиж,"['Салон красоты', 'массажный салон']",,38.151367,54.833254
Салон красоты,['Салон красоты'],"3,4",38.08033,54.889324
Территория красоты,"['Салон красоты', 'ногтевая студия']","3,6",38.259343,54.793276
