name,tags,score,lat,lon
Стройка. Pro,"['Строительный магазин', 'лакокрасочные материалы']","4,9",38.081326,54.898742
Экострой,['Строительный магазин'],"4,8",38.275601,54.838301
Доступный дом СТ,,"4,6",38.064724,54.895041
Перестройка,['Строительный магазин'],"4,5",38.218409,54.848726
Перестройка,"['Строительный магазин', 'стройматериалы оптом']","4,4",38.146426,54.825366
Перестройка,"['Стройматериалы оптом', 'строительный магазин']","4,6",38.152644,54.82375
Апельсин,['Строительный магазин'],"4,3",38.200263,54.841911
Парус,"['Строительный магазин', 'стройматериалы оптом']","4,4",38.14056,54.823069
Перестройка,"['Строительный магазин', 'двери']","4,3",38.062881,54.897006
Мастерская зеркал,"['Строительный магазин', 'металлоконструкции']","4,4",38.087612,54.890713
Стройматериалы,['Строительный магазин'],"4,4",38.145274,54.824402
Строительный магазин,"['Строительный магазин', 'магазин хозтоваров и бытовой химии']","4,3",38.204885,54.884058
Строим вместе,"['Строительный магазин', 'ламинат']","4,3",38.059695,54.896457
Кашира-Центр,,"4,1",38.151318,54.832395
Парус,['Строительный магазин'],"4,3",38.148325,54.826022
Строймаг Муравей,['Строительный магазин'],"4,4",38.053979,54.885654
Строитель,['Строительный магазин'],"4,0",38.063063,54.903743
Стройдвор,['Строительный магазин'],"4,0",38.150618,54.822007
ЭкоСтройГаз,,,38.152024,54.833595
Алекс-строй,,,38.15507,54.83518
СтройАрсенал1,['Строительный магазин'],"4,1",38.247959,54.854784
Доступный дом,,"4,2",38.063934,54.89467
Строительные материалы,['Строительный магазин'],"4,0",38.070364,54.898045
Слава,"['Строительный магазин', 'стройматериалы оптом']","3,9",38.072531,54.897105
Строительная компания,,,38.154122,54.827269
СтройАрсенал,['Строительный магазин'],"4,3",38.253006,54.790531
Стройбаза.com,"['Строительный магазин', 'электро- и бензоинструмент']","4,5",38.021127,54.785999
LutakaHome,,"4,3",37.977873,54.824535
ДомСтрой,,"4,8",38.048191,54.913699
РИО,"['Строительный магазин', 'керамическая плитка']","4,6",38.067674,54.879294
СтройКа,['Строительный магазин'],"4,3",38.064583,54.80808
Самоделкин,['Строительный магазин'],"4,5",38.070997,54.897888
Строительный магазин,"['Строительный магазин', 'магазин хозтоваров и бытовой химии']","4,1",38.240139,54.794416
Startstroyka,"['Строительный магазин', 'пиломатериалы']","4,7",38.029764,54.944617
Строймолл,"['Строительный магазин', 'магазин хозтоваров и бытовой химии']","4,0",38.272601,54.779301
СтройТрансСбыт,,,38.151843,54.835646
Мир строителя,['Строительный магазин'],"4,1",38.064882,54.891485
Кашираагропромстрой,,,38.151037,54.837835
Домострой,['Строительный магазин'],"3,5",38.075345,54.883418
Астра,,,38.151954,54.835672
Строительная компания,,,38.167354,54.827757
Диана-Торг,['Строительный магазин'],"3,8",38.063213,54.808059
Строительный магазин,['Строительный магазин'],"3,2",38.070191,54.898022
Уникдомстрой,,,38.240377,54.843447
РБУ в Кашире,,,38.130088,54.820265
Интехстрой,,,38.075291,54.883402
Бетононасос автобетононасос,,,38.147972,54.825881
Капиталъ,,,38.087392,54.890233
Капиталъ,,,38.072874,54.900732
ПСК Монолит,,,38.061187,54.897516
