name,tags,score,lat,lon
Пятёрочка,,"4,5",38.120925,54.87142
Пятёрочка,,"4,7",38.086388,54.885883
Дикси,,"4,6",38.099604,54.842349
Пятёрочка,,"4,4",38.070606,54.898122
Пятёрочка,,"4,5",38.150951,54.829322
Пятёрочка,,"4,3",38.062778,54.887144
ВкусВилл,['Магазин продуктов'],"4,4",38.060765,54.886885
В1-Первый выбор,['Магазин продуктов'],"4,3",38.064888,54.893125
ВкусВилл,['Магазин продуктов'],"4,2",38.082711,54.886223
Дикси,,"4,1",38.075232,54.89675
Верный,['Магазин продуктов'],"4,3",38.13707,54.865655
Перекрёсток,,"4,7",38.06214,54.89125
Авокадо,['Магазин продуктов'],"4,1",38.13174,54.875607
Перекрёсток,['Магазин продуктов'],"4,7",38.079388,54.898029
Крутышки,['Магазин продуктов'],"4,3",38.157642,54.876668
Да!,['Магазин продуктов'],"4,5",38.072732,54.900824
Ашан,,"4,4",38.07155,54.895617
Магнит,['Магазин продуктов'],"4,4",38.191722,54.838317
Да!,['Магазин продуктов'],"4,7",38.246868,54.836978
Магнит,['Магазин продуктов'],"4,2",38.078426,54.890823
Магнит,['Магазин продуктов'],"4,0",38.107275,54.884831
Пятёрочка,,"4,3",38.062667,54.879605
Продукты Ермолино,['Магазин продуктов'],"4,4",38.245945,54.841085
Магнит,['Магазин продуктов'],"4,1",38.150953,54.836455
Магнит,['Магазин продуктов'],"4,2",38.052494,54.885411
Пятёрочка,,"4,5",38.189287,54.856814
Smart,,"4,9",38.080825,54.903505
Продукты,['Магазин продуктов'],"4,7",38.02942,54.944301
Авокадо,['Магазин продуктов'],"4,4",38.084714,54.88528
Продукты,['Магазин продуктов'],"4,2",38.188553,54.857196
Ермолино,['Магазин продуктов'],"4,4",38.053311,54.885526
Минимаркет,['Магазин продуктов'],"4,4",38.056606,54.896874
Чижик,,"4,3",38.196687,54.84106
Стрелка,,"4,5",38.149407,54.826255
Пятёрочка,,"4,5",38.026218,54.811105
Пятёрочка,,"4,6",38.216974,54.847877
Пятёрочка,,"4,5",38.159437,54.801693
Магнит,['Магазин продуктов'],"4,1",38.185118,54.854848
Магнит,['Магазин продуктов'],"4,2",38.192323,54.844743
Магнит,['Магазин продуктов'],"4,0",38.085069,54.886807
Пятёрочка,,"4,3",38.146192,54.825232
Пятёрочка,,"4,3",38.058314,54.885212
Магнит,['Магазин продуктов'],"4,1",38.059554,54.886368
Голубой Дунай,['Магазин продуктов'],"3,8",38.147156,54.871353
Продукты,['Магазин продуктов'],"4,1",38.199702,54.883296
Магнит,['Магазин продуктов'],"4,1",38.054339,54.883998
Магнит,['Магазин продуктов'],"4,1",38.065074,54.887229
Пятёрочка,,"4,2",38.078816,54.88545
Продуктовый рынок,['Продуктовый рынок'],"4,3",38.069337,54.889169
Магнит,['Магазин продуктов'],"4,1",38.064129,54.89069
Авокадо,['Магазин продуктов'],"4,3",38.145243,54.85915
Окраина вкуснее,['Магазин продуктов'],"4,2",38.068419,54.8908
Авиатор,['Магазин продуктов'],"4,3",38.153139,54.878936
Продукты Ермолино,['Магазин продуктов'],"4,2",38.14719,54.8263
Дары Армении,['Магазин продуктов'],"4,4",38.072984,54.900675
Верный,['Магазин продуктов'],"4,7",38.027384,54.810266
Ермолино,['Магазин продуктов'],"4,2",38.072919,54.889532
Петрушка,['Магазин продуктов'],"4,3",38.073275,54.889854
Магнит,['Магазин продуктов'],"4,3",38.247237,54.851749
Любимый,['Магазин продуктов'],"4,2",38.078295,54.884664
Колос сеть глория,['Магазин продуктов'],"4,2",38.192075,54.843675
Хмель да Рыба,['Магазин продуктов'],"4,2",38.078747,54.887204
Верный,['Магазин продуктов'],"4,2",38.191281,54.84231
Окна Ступино,['Магазин продуктов'],"4,2",38.065759,54.887131
ЭКОпродукты,['Магазин продуктов'],"4,2",38.084572,54.900103
Пятёрочка,,"4,2",38.078162,54.888983
Минимаркет,['Магазин продуктов'],"4,1",38.120635,54.819453
Магнит,['Магазин продуктов'],"4,3",38.253132,54.83961
Пятёрочка,,"4,4",38.240273,54.842704
Продукты,['Магазин продуктов'],"4,0",38.055362,54.842719
Магнит,['Магазин продуктов'],"4,3",38.285573,54.830464
Магнит,['Магазин продуктов'],"4,0",38.070257,54.891527
Верный,['Магазин продуктов'],"4,4",38.249914,54.790724
Пятёрочка,,"4,2",38.066247,54.892418
Верный,['Магазин продуктов'],"4,2",38.247094,54.845093
Авиатор,['Магазин продуктов'],"4,2",38.119686,54.874657
Магазин продуктов,['Магазин продуктов'],"4,3",38.086007,54.890242
Услада,['Магазин продуктов'],"4,2",38.091551,54.886228
Авокадо,['Магазин продуктов'],"4,2",38.05949,54.887087
Чай-Кофе,['Магазин продуктов'],"4,1",38.074589,54.887406
Белорусские продукты,['Магазин продуктов'],"4,4",38.071659,54.900719
Авокадо,['Магазин продуктов'],"4,1",38.065913,54.8886
ГУМ,['Магазин продуктов'],"4,5",37.974427,54.822358
Авокадо,['Магазин продуктов'],"4,5",38.046751,54.948494
Куриный дом,"['Магазин мяса, колбас', 'магазин продуктов']","4,3",38.062262,54.887987
Окраина вкуснее,['Магазин продуктов'],"4,2",38.055009,54.881225
Казахстанские продукты,['Магазин продуктов'],"4,2",38.071748,54.900673
Караван,['Магазин продуктов'],"4,2",38.054926,54.881184
Авокадо,['Магазин продуктов'],"4,1",38.054414,54.887693
Пятёрочка,,"4,3",38.237374,54.851988
Продукты,['Магазин продуктов'],"4,2",38.15675,54.803528
Пятёрочка,,"4,3",38.138062,54.940289
Магазин продуктов,['Магазин продуктов'],"4,2",37.947227,54.856374
Мини Лента,['Магазин продуктов'],"4,1",38.245728,54.840479
Продукты,['Магазин продуктов'],"3,9",38.089284,54.889142
Магнит,['Магазин продуктов'],"4,1",38.24549,54.841586
Пятёрочка,,"4,3",38.24981,54.853828
Магнит,['Магазин продуктов'],"3,9",38.072863,54.89327
Светофор,['Магазин продуктов'],"3,9",38.059218,54.898918
Дикси,,"4,1",38.183935,54.85419
