name,tags,score,lat,lon
Банк ВТБ,['Банк'],"3,1",38.15039,54.834512
Газпромбанк,['Банк'],"4,0",38.076719,54.885601
СберБанк,['Банк'],"4,6",38.151611,54.834322
Россельхозбанк,['Банк'],"4,4",38.08714,54.888403
СберБанк,['Банк'],"4,8",38.244635,54.845301
СберБанк,['Банк'],"4,7",38.07121,54.89124
СберБанк,['Банк'],"4,5",38.086963,54.887963
Почта Банк,"['Точка банковского обслуживания', 'финансовые услуги на кассе']","4,1",38.135498,54.865022
Банк Открытие,['Банк'],"4,2",38.068556,54.890797
Совкомбанк,"['Банк', 'точка банковского обслуживания']","4,2",38.069068,54.887125
Почта Банк,"['Банк', 'финансовые услуги на кассе']","3,4",38.058988,54.88523
Банк ВТБ,['Банк'],"3,8",38.069703,54.887797
Совкомбанк,"['Банк', 'точка банковского обслуживания']","4,4",38.247273,54.837666
Банк Хоум Кредит,['Банк'],"4,0",38.079084,54.898227
Почта Банк,"['Банк', 'точка банковского обслуживания']","4,0",38.185957,54.855224
Почта Банк,"['Банк', 'точка банковского обслуживания']","4,0",38.085219,54.886081
Почта Банк,"['Банк', 'точка банковского обслуживания']","3,8",38.149114,54.837516
Почта Банк,"['Банк', 'точка банковского обслуживания']","3,4",38.24522,54.840931
Почта Банк,['Банк'],"3,9",38.079706,54.892116
Почта Банк,"['Точка банковского обслуживания', 'банк']","3,1",38.192103,54.838897
Почта Банк,"['Банк', 'банкомат']","3,8",38.07704,54.887089
СберБанк,['Банк'],"3,7",38.227321,54.886584
Финансовая Корпорация Открытие,,,38.078545,54.898015
