name,tags,score,lat,lon
Гбув МО Тву № 5 Ветеринарная станция по Г. О. Ступино и Чехов,"['Ветеринарная клиника', 'ветеринарная лаборатория']","4,5",38.074219,54.89619
Гбув МО Тву № 5 Ветеринарная станция по Г. О. Кашира,"['Ветеринарная клиника', 'ветеринарная лаборатория']","4,7",38.149091,54.83332
МФЦ городского округа Ступино Московской области,['МФЦ'],,38.078907,54.894309
МФЦ ГО Кашира,['МФЦ'],,38.188507,54.856603
Отдел государственной статистики в городе Ступино,['Статистическая организация'],,38.082284,54.886405
Центр государственных услуг Мои документы,['МФЦ'],,38.197451,54.840261
Социальный фонд России,['Пенсионный фонд'],,38.080936,54.891043
Ступинское управление Социальной защиты населения Министерства социального развития Московской области,['Социальная служба'],,38.084061,54.886703
Московское областное БТИ,['БТИ'],,38.089466,54.885953
Регистрационная палата,['Регистрационная палата'],,38.192646,54.844128
Межрайонная инспекция Федеральной налоговой службы № 9 по Московской области,['Налоговая инспекция'],,38.070933,54.89506
Каширское районное отделение судебных приставов Главного Управления Федеральной службы судебных приставов по Московской области,['Судебные приставы'],,38.150004,54.836534
Мособлмедсервис,,,38.072569,54.883506
