name,tags,score,lat,lon
Додо Пицца,"['Пиццерия', 'быстрое питание']","4,8",38.05949,54.887087
KFC,['Быстрое питание'],"4,4",38.079081,54.898083
Бургер Кинг,"['Быстрое питание', 'ресторан']","4,3",38.078903,54.89852
Дай Три,"['Быстрое питание', 'кафе']","4,8",38.0527,54.885652
KFC Авто,"['Быстрое питание', 'кафе']","4,3",38.07394,54.899878
Додо Пицца,"['Пиццерия', 'быстрое питание']","4,6",38.150507,54.834817
KFC,"['Быстрое питание', 'кафе']","2,6",38.246415,54.837003
Magic Pizza,"['Суши-бар', 'пиццерия']","5,0",38.077887,54.88759
Суши от Саши,"['Кафе', 'суши-бар']","5,0",38.053847,54.880647
Кутаиси,"['Кафе', 'быстрое питание']","4,9",38.065323,54.899272
Mix точка,['Быстрое питание'],"4,7",38.07791,54.887193
Русские блины,"['Быстрое питание', 'кафе']","4,7",38.07239,54.887074
Моккано,"['Суши-бар', 'ресторан']","4,7",38.079863,54.886937
Mix точка,['Быстрое питание'],"4,7",38.069212,54.884379
Вкусно — и точка,['Быстрое питание'],"4,6",38.080038,54.903849
La Dolce Vita,"['Быстрое питание', 'пиццерия']","4,7",38.061521,54.887804
Village House Pub,"['Ресторан', 'кафе']","4,4",38.085378,54.890196
Mix точка,['Быстрое питание'],"4,5",38.086508,54.8865
Вкусно — и точка. Авто,['Быстрое питание'],"4,5",38.080164,54.903875
Франческо,"['Кафе', 'пиццерия']","4,3",38.081225,54.886275
Пиццерия Олива,"['Кафе', 'банкетный зал']","4,5",38.074089,54.896459
Mix точка,['Быстрое питание'],"4,5",38.073189,54.891594
Атриум Food Gallery,['Ресторан'],"4,4",38.073754,54.901247
Олива,"['Столовая', 'быстрое питание']","4,6",38.046473,54.895369
СВШ,['Быстрое питание'],"4,3",38.184883,54.85478
Pizza express 24,['Кафе'],"4,7",38.085317,54.889841
Mix точка,['Быстрое питание'],"4,5",38.151124,54.834834
Булочная,"['Кафе', 'кондитерская']","4,8",38.071153,54.891646
Очень странная кофейня,"['Кофейня', 'кондитерская']","5,0",38.055375,54.88195
Magic pizza,"['Пиццерия', 'кофейня']","4,9",38.246145,54.843428
Речной вокзал,"['Кафе', 'банкетный зал']","4,8",38.041335,54.843025
Барракуда,"['Магазин суши и азиатских продуктов', 'суши-бар']","4,6",38.086224,54.884552
Loft bar 2.0,"['Ресторан', 'бар, паб']","4,7",38.073309,54.901534
