name,tags,score,lat,lon
Моя Семья,"['Медцентр, клиника']","4,7",38.076346,54.8857
Медси,"['Медцентр, клиника']","4,6",38.064071,54.887941
Медси,"['Медцентр, клиника']","4,6",38.072539,54.887854
Медси,"['Медцентр, клиника']","4,4",38.067341,54.881088
INVITRO,['Диагностический центр'],"4,6",38.151097,54.833251
Медцентр,"['Медцентр, клиника']","4,6",38.167636,54.830048
Есо-мед,"['Медцентр, клиника']","4,5",38.084497,54.888692
Неомакс,"['Медцентр, клиника']","5,0",38.053228,54.885477
Моя Семья,"['Медцентр, клиника']","4,6",38.08482,54.885411
Авиценна,['Диагностический центр'],"4,3",38.191978,54.845196
Медхолл,"['Медцентр, клиника']","4,3",38.080116,54.890926
Московия,"['Медцентр, клиника']","4,1",38.07449,54.896744
Урология Гинекология УЗИ,"['Медцентр, клиника']","4,4",38.087055,54.888232
Педиатр Лён Ж. Н.,"['Медцентр, клиника']","5,0",38.052735,54.885855
Берёзка Мед,"['Медцентр, клиника']","4,2",38.05582,54.881875
Клиника здоровья,"['Медцентр, клиника']","4,4",38.246747,54.844345
Veramed,"['Медцентр, клиника']","4,4",38.070274,54.879374
INVITRO,['Диагностический центр'],"4,7",38.064912,54.891406
Центр лечения боли - Ступино,"['Медцентр, клиника']","4,5",38.080425,54.902606
Европейская Клиническая Лаборатория,['Медицинская лаборатория'],"5,0",38.078222,54.884406
Медикал групп,"['Больница для взрослых', 'медцентр, клиника']",,38.074969,54.882876
Есо-Мед,"['Медцентр, клиника']","3,9",38.072246,54.888035
CMD — Центр Молекулярной Диагностики,['Медицинская лаборатория'],"4,6",38.247552,54.839982
Медицинский центр,"['Медцентр, клиника']","3,7",38.087117,54.888203
Современные Медицинские Технологии,['Медицинская лаборатория'],"4,0",38.068425,54.89043
Поликлиника Ржд-Медицина Ожерелье,"['Медцентр, клиника']","3,9",38.257973,54.788766
Клиника Здоровья,"['Медцентр, клиника']","4,2",38.068378,54.890491
МедЦентр,"['Медцентр, клиника']","4,1",38.260485,54.794581
СИТИЛАБ,['Медицинская лаборатория'],"4,3",38.053228,54.885477
