name,tags,score,lat,lon
Пятёрочка,,"4,5",38.120925,54.87142
Пятёрочка,,"4,7",38.086388,54.885883
Пятёрочка,,"4,5",38.189287,54.856814
Дикси,,"4,6",38.099604,54.842349
Пятёрочка,,"4,5",38.150951,54.829322
Пятёрочка,,"4,4",38.070606,54.898122
Магнит,['Магазин продуктов'],"4,1",38.185118,54.854848
Дикси,,"4,1",38.075232,54.89675
Магнит,['Магазин продуктов'],"4,0",38.085069,54.886807
В1-Первый выбор,['Магазин продуктов'],"4,3",38.064888,54.893125
Верный,['Магазин продуктов'],"4,3",38.13707,54.865655
Крутышки,['Магазин продуктов'],"4,3",38.157642,54.876668
Авокадо,['Магазин продуктов'],"4,1",38.13174,54.875607
Перекрёсток,,"4,7",38.06214,54.89125
Перекрёсток,['Магазин продуктов'],"4,7",38.079388,54.898029
Да!,['Магазин продуктов'],"4,5",38.072732,54.900824
Голубой Дунай,['Магазин продуктов'],"3,8",38.147156,54.871353
Да!,['Магазин продуктов'],"4,7",38.246868,54.836978
ВкусВилл,['Магазин продуктов'],"4,4",38.060765,54.886885
Пятёрочка,,"4,6",38.216974,54.847877
Ашан,,"4,4",38.07155,54.895617
ВкусВилл,['Магазин продуктов'],"4,2",38.082711,54.886223
Магнит,['Магазин продуктов'],"4,2",38.192323,54.844743
Магнит,['Магазин продуктов'],"4,0",38.107275,54.884831
Магнит,['Магазин продуктов'],"4,1",38.150953,54.836455
Магнит,['Магазин продуктов'],"4,2",38.078426,54.890823
Любимый,['Магазин продуктов'],"4,2",38.078295,54.884664
Smart,,"4,9",38.080825,54.903505
Авокадо,['Магазин продуктов'],"4,4",38.084714,54.88528
Верный,['Магазин продуктов'],"4,2",38.191281,54.84231
Продукты Ермолино,['Магазин продуктов'],"4,4",38.245945,54.841085
Стрелка,,"4,5",38.149407,54.826255
Хмель да Рыба,['Магазин продуктов'],"4,2",38.078747,54.887204
Магнит,['Магазин продуктов'],"4,4",38.191722,54.838317
Продукты,['Магазин продуктов'],"4,7",38.02942,54.944301
Пятёрочка,,"4,3",38.062667,54.879605
Пятёрочка,,"4,5",38.159437,54.801693
Магнит,['Магазин продуктов'],"4,3",38.247237,54.851749
Продукты,['Магазин продуктов'],"4,1",38.199702,54.883296
Петрушка,['Магазин продуктов'],"4,3",38.073275,54.889854
Окна Ступино,['Магазин продуктов'],"4,2",38.065759,54.887131
Радуга,['Магазин продуктов'],"4,1",38.149754,54.839237
Пятёрочка,,"4,3",38.062778,54.887144
Пятёрочка,,"4,5",38.026218,54.811105
Пятёрочка,,"4,3",38.146192,54.825232
Магнит,['Магазин продуктов'],"4,2",38.052494,54.885411
Магнит,['Магазин продуктов'],"4,1",38.059554,54.886368
Пятёрочка,,"4,4",38.240273,54.842704
Магнит,['Магазин продуктов'],"4,3",38.285573,54.830464
Магнит,['Магазин продуктов'],"4,3",38.253132,54.83961
Авокадо,['Магазин продуктов'],"4,3",38.145243,54.85915
Авиатор,['Магазин продуктов'],"4,3",38.153139,54.878936
Авиатор,['Магазин продуктов'],"4,2",38.119686,54.874657
Минимаркет,['Магазин продуктов'],"4,4",38.056606,54.896874
Ермолино,['Магазин продуктов'],"4,4",38.053311,54.885526
Дары Армении,['Магазин продуктов'],"4,4",38.072984,54.900675
Эльдорадо,['Магазин электроники'],"4,4",38.246772,54.83677
Продукты,['Магазин продуктов'],"4,2",38.188553,54.857196
Чижик,,"4,3",38.196687,54.84106
Верный,['Магазин продуктов'],"4,4",38.249914,54.790724
Красное&Белое,"['Магазин алкогольных напитков', 'магазин продуктов']","4,3",38.068035,54.879208
Алеся,['Магазин продуктов'],"4,5",38.245132,54.843096
Пятёрочка,,"4,3",38.058314,54.885212
Магнит,['Магазин продуктов'],"4,1",38.054339,54.883998
Минимаркет,['Магазин продуктов'],"4,1",38.120635,54.819453
Магнит,['Магазин продуктов'],"4,1",38.064129,54.89069
Верный,['Магазин продуктов'],"4,2",38.247094,54.845093
Пятёрочка,,"4,2",38.078162,54.888983
Пятёрочка,,"4,2",38.078816,54.88545
Продукты,['Магазин продуктов'],"4,0",38.055362,54.842719
Пятёрочка,,"4,3",38.237374,54.851988
Пятёрочка,,"4,3",38.138062,54.940289
Светофор,['Магазин продуктов'],"4,0",38.148046,54.825986
Магнит,['Магазин продуктов'],"4,0",38.070257,54.891527
Магнит,['Магазин продуктов'],"4,1",38.24549,54.841586
Место Пиvo,['Магазин пива'],"5,0",38.246366,54.841636
Август,['Магазин продуктов'],"4,3",38.107532,54.883575
Услада,['Магазин продуктов'],"4,2",38.091551,54.886228
Караван,['Магазин продуктов'],"4,2",38.054926,54.881184
Колос сеть глория,['Магазин продуктов'],"4,2",38.192075,54.843675
"Мясо, колбасы","['Магазин мяса, колбас']","4,3",38.164335,54.89756
ГУМ,['Магазин продуктов'],"4,5",37.974427,54.822358
Магнит,['Магазин продуктов'],"4,1",38.065074,54.887229
Мясницкий ряд,"['Магазин мяса, колбас']","4,3",38.151284,54.83248
Пятёрочка,,"4,3",38.24981,54.853828
Амка,['Магазин продуктов'],"4,3",38.066969,54.890227
Авокадо,['Магазин продуктов'],"4,5",38.046751,54.948494
Чай-Кофе,['Магазин продуктов'],"4,1",38.074589,54.887406
Катюша,['Магазин продуктов'],"4,4",38.028425,54.812929
ЭКОпродукты,['Магазин продуктов'],"4,2",38.084572,54.900103
Мини Лента,['Магазин продуктов'],"4,1",38.245728,54.840479
Пятёрочка,,"4,2",38.066247,54.892418
Дикси,,"4,1",38.183935,54.85419
Светофор,['Магазин продуктов'],"3,9",38.059218,54.898918
Магнит,['Магазин продуктов'],"4,1",38.251147,54.842745
Магнит,['Магазин продуктов'],,38.25801,54.792292
Магазин продуктов,['Магазин продуктов'],,37.947227,54.856374
Коопмаг,['Магазин продуктов'],"3,7",38.228641,54.886446
Магнит,['Магазин продуктов'],"4,2",38.270906,54.792091
Мини Лента,['Магазин продуктов'],"4,1",38.252999,54.789009
Да!,['Магазин продуктов'],"4,7",38.07844,54.899682
Авокадо,['Магазин продуктов'],"4,4",38.025399,54.808359
Мясная точка,"['Магазин мяса, колбас']","4,7",38.086503,54.886479
Верный,['Магазин продуктов'],"4,7",38.027384,54.810266
Всеинструменты.ру,"['Электро- и бензоинструмент', 'садовый инвентарь и техника']","4,7",38.146168,54.825191
Kari ГИПЕР,"['Магазин обуви', 'детские игрушки и игры']","4,3",38.077963,54.898161
Меркурий,['Магазин продуктов'],"4,1",38.073645,54.894016
Продукты,['Магазин продуктов'],"4,2",38.15675,54.803528
Всеинструменты.ру,"['Электро- и бензоинструмент', 'садовый инвентарь и техника']","4,7",38.062607,54.891449
Городищенские овощи,['Магазин овощей и фруктов'],"4,7",38.221913,54.878543
Мясо,"['Магазин мяса, колбас', 'магазин овощей и фруктов']","4,4",38.150909,54.829502
Васильки,,"4,4",38.146499,54.828402
Радуга,['Магазин продуктов'],"4,4",38.26409,54.789441
Чижик,,"4,4",38.251146,54.842844
Продукты Ермолино,['Магазин продуктов'],"4,2",38.14719,54.8263
Ермолино,['Магазин продуктов'],"4,2",38.072919,54.889532
Окраина вкуснее,['Магазин продуктов'],"4,2",38.068419,54.8908
Fix Price,['Товары для дома'],"4,3",38.062703,54.892209
Kari,"['Магазин обуви', 'ювелирный магазин']","4,3",38.247025,54.836824
Казахстанские продукты,['Магазин продуктов'],"4,2",38.071748,54.900673
Светофор,['Магазин продуктов'],"4,0",38.247155,54.836182
Пятёрочка,,"4,3",38.287198,54.828865
Пятёрочка,,"4,2",38.246025,54.839396
Магнит,['Магазин продуктов'],"3,8",38.150713,54.837918
Магнит,['Магазин продуктов'],"3,9",38.072863,54.89327
Авокадо,['Магазин продуктов'],"4,1",38.054414,54.887693
Продукты,['Магазин продуктов'],"4,5",38.043981,54.858577
Мясной дом,"['Магазин мяса, колбас']","4,6",38.070421,54.895497
Белорусские продукты,['Магазин продуктов'],"4,4",38.071659,54.900719
Куриный дом,"['Магазин мяса, колбас', 'яйцо и мясо птицы']","4,3",38.150492,54.832781
Продукты,['Магазин продуктов'],"4,3",38.282349,54.83148
Великолукский мясокомбинат,"['Магазин мяса, колбас']","4,3",38.192135,54.838243
Продукты,['Магазин продуктов'],"3,9",38.089284,54.889142
Эдельвейс,['Магазин продуктов'],"4,0",38.074652,54.895266
Амка,['Магазин продуктов'],"4,3",38.072167,54.89153
Продукты,['Магазин продуктов'],"4,1",38.244401,54.85044
Мясной № 1 от фермера,"['Магазин мяса, колбас']","4,4",38.244407,54.851211
Авокадо,['Магазин продуктов'],"4,2",38.05949,54.887087
Супермаркет,,"4,4",38.149149,54.826545
Эльдорадо,['Магазин электроники'],"4,2",38.062665,54.891449
