name,tags,score,lat,lon
МБУ СШОР имени В. М. Боброва,['Спортивный комплекс'],"4,9",38.078678,54.879242
Ледовый дворец имени В.М. Боброва,['Спортивный комплекс'],"4,9",38.078222,54.879276
Стадион Юбилейный,['Стадион'],"4,9",38.25547,54.841426
Титан,"['Спортивный, тренажёрный зал', 'спортивное питание']","5,0",38.242023,54.846756
МАУ Спортклуб Кашира имени Н.П. Елисеева филиал Дворец спорта Юбилейный,['Спортивный комплекс'],"4,7",38.25547,54.841426
ОКА,['Спортивный комплекс'],"4,7",38.078597,54.879215
Олимп,['Спортивный комплекс'],"4,4",38.189795,54.842493
Сокол,['Спортивный комплекс'],"4,6",38.071575,54.892678
ДжампПремиум,"['Спортивный, тренажёрный зал']","4,6",38.153669,54.834024
Сокол,"['Спортивный клуб, секция']","4,4",38.117952,54.871906
Бест Фитнес,['Спортивный комплекс'],"4,4",38.062833,54.879838
Спорткомплекс,['Спортивный комплекс'],"4,4",38.078763,54.883029
Ураган,"['Фитнес-клуб', 'спортивный, тренажёрный зал']","4,6",38.077712,54.898385
CATstep,"['Фитнес-клуб', 'студия йоги']","4,4",38.168408,54.830257
Адреналин,['Фитнес-клуб'],"4,5",38.054128,54.881679
Металлург,['Спортивный комплекс'],"4,3",38.08077,54.881274
Спортклуб Кашира имени Н. П. Елисеева,"['Спортивный клуб, секция']","4,4",38.243297,54.849768
MasterGym,"['Фитнес-клуб', 'спортивный, тренажёрный зал']","4,3",38.076796,54.885615
Pro Тело,['Фитнес-клуб'],"4,3",38.148898,54.836451
Кашира,"['Спортивный клуб, секция']","4,3",38.246215,54.843453
Тюнинг тела,['Фитнес-клуб'],"4,4",38.075997,54.902631
Подростково-молодежный клуб Динамит,"['Спортивный, тренажёрный зал']","4,3",38.092125,54.889552
EMS,['Фитнес-клуб'],"4,3",38.076228,54.902593
Бизон Гим,"['Спортивный, тренажёрный зал']","4,2",38.246176,54.843494
Мксу ФОК Си,['Спортивный комплекс'],"4,2",38.088343,54.881753
Фитнес-клуб,['Фитнес-клуб'],"4,6",38.238595,54.844445
X-Fit Studio,['Фитнес-клуб'],"4,4",38.078915,54.879349
Зодиак,['Фитнес-клуб'],"4,3",38.065353,54.88284
Кря-Ква,"['Бассейн', 'оздоровительный центр']","4,7",38.053896,54.881057
Настольный теннис,"['Спортивный клуб, секция']","4,3",38.078493,54.880712
Локомотив,"['Стадион', 'спортивная школа']",,38.189038,54.85272
Капитан,"['Спортивный клуб, секция']","4,1",38.086933,54.883923
SPA Energy,"['Спортивный, тренажёрный зал', 'спа-салон']","4,2",38.080834,54.896972
МБУ СШ ОКА,"['Бассейн', 'спортивная школа']","4,2",38.078722,54.88274
Темп,['Стадион'],"4,2",38.08828,54.882222
Бассейн,['Бассейн'],"4,7",38.335357,54.857411
Романтик,['Школа танцев'],"4,3",38.072587,54.89226
Стадион,"['Спортивный, тренажёрный зал']","4,0",38.267908,54.790833
Спортивный зал,"['Спортивный, тренажёрный зал']","3,3",38.083032,54.882635
Спортклуб,"['Спортивный клуб, секция']","3,7",38.272828,54.789436
Русич,"['Спортивный клуб, секция']","3,8",38.264869,54.79169
Студия йоги,"['Студия йоги', 'спортивное объединение']",,38.083717,54.884503
Baby fitness,['Фитнес-клуб'],,38.072267,54.889828
UKFITNESS,['Фитнес-клуб'],,38.073436,54.901755
Спортклуб,"['Спортивный клуб, секция']",,38.255732,54.843155
Uk. Fitness,['Фитнес-клуб'],,38.072726,54.900697
МБУ ФКС Спорткомплекс Новоселки,['Спортивный комплекс'],"3,9",38.279193,54.829974
Спорткомплекс,['Спортивный комплекс'],"3,9",38.067966,54.898246
