name,tags,score,lat,lon
Школа № 4,['Общеобразовательная школа'],"4,7",38.139539,54.865962
МБОУ СОШ № 1 дошкольное отделение 8,"['Детский сад, ясли']","4,7",38.162836,54.840473
МАДОУ детский сад комбинированного вида № 6 Зоренька городского округа Ступино Московской области,"['Детский сад, ясли']","4,3",38.125629,54.868004
МБОУ СОШ № 2 Дошкольное отделение,"['Детский сад, ясли']","4,7",38.081902,54.884157
МОУ СОШ № 2,['Общеобразовательная школа'],"4,4",38.085068,54.883828
МБОУ Средняя общеобразовательная школа № 9,['Общеобразовательная школа'],"4,5",38.060634,54.880255
МБОУ СОШ № 2 Дошкольное отделение,"['Детский сад, ясли']","4,4",38.08189,54.885056
"ФГБОУ ВО Московский авиационный институт, Ступинский филиал",['ВУЗ'],"4,5",38.076227,54.902522
Основная общеобразовательная школа № 8,['Общеобразовательная школа'],"4,2",38.193001,54.8568
МБОУ Средняя общеобразовательная школа с углубленным изучением отдельных предметов № 2,['Общеобразовательная школа'],"4,3",38.191387,54.839756
Школа № 9 г. Кашира,['Общеобразовательная школа'],"4,2",38.183966,54.842538
Средняя общеобразовательная школа с углубленным изучением отдельных предметов № 7,['Общеобразовательная школа'],"4,3",38.24257,54.841894
МБОУ Средняя общеобразовательная школа № 5 с углублённым изучением отдельных предметов,['Общеобразовательная школа'],"4,3",38.064188,54.885031
Муниципальное бюджетное общеобразовательное учреждение Средняя общеобразовательная школа № 8 с углублённым изучением отдельных предметов,['Общеобразовательная школа'],"4,3",38.075877,54.891875
Средняя общеобразовательная школа № 4,['Общеобразовательная школа'],"4,3",38.252587,54.840818
"Информационно-консультационный центр, региональное подразделение Московского финансово-промышленного университета Синергия",['ВУЗ'],"4,3",38.247884,54.852729
МКОУ школа № 10,['Общеобразовательная школа'],"4,2",38.081894,54.896796
Средняя Общеобразовательная школа № 3,['Общеобразовательная школа'],"4,2",38.246966,54.848406
МБОУ Средняя общеобразовательная школа № 1 с углублённым изучением отдельных предметов,['Общеобразовательная школа'],"4,1",38.077112,54.884724
АНОО Гимназия города Ступино,['Гимназия'],"4,1",38.082819,54.895243
МБОУ Средняя общеобразовательная школа № 2,['Общеобразовательная школа'],"4,1",38.081578,54.887048
Муниципальное бюджетное общеобразовательное учреждение Средняя общеобразовательная школа № 1 имени Героя Советского Союза А. И. Выборнова,['Общеобразовательная школа'],"4,0",38.153759,54.833094
Академия управления и производства,['ВУЗ'],,38.075255,54.883416
МБОУ Лицей № 1,['Лицей'],"4,1",38.054804,54.886431
"Московский финансово-юридический университет, центр дистанционного доступа",['ВУЗ'],"3,0",38.189166,54.856626
МАДОУ детский сад комбинированного вида № 7 Радуга,"['Детский сад, ясли']","4,9",38.089781,54.885492
"СОШ № 9, дошкольное отделение","['Детский сад, ясли']","4,9",38.057045,54.881584
Начальная школа № 3 г. Кашира,['Начальная школа'],"4,2",38.24776,54.847405
Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 17,"['Детский сад, ясли']","4,4",38.190812,54.856335
МБДОУ детский сад № 2 г. Кашира,"['Детский сад, ясли']","4,4",38.15624,54.836031
ГБПОУ МО Ступинский техникум имени А.Т. Туманова,['Техникум'],"4,3",38.07129,54.899541
Академик,"['Детский сад, ясли']","4,5",38.0811,54.896421
МКОУ Коррекционная общеобразовательная школа-интернат,['Школа-интернат'],"4,2",38.090559,54.887842
МАДОУ Лужниковский д/с комбинированного вида Вишенка,"['Детский сад, ясли']","4,3",38.095692,54.842706
МБДОУ детский сад № 7,"['Детский сад, ясли']","4,4",38.188974,54.839961
МАДОУ центр развития ребенка детский сад № 27 Росинка Ступинского муниципального района,"['Детский сад, ясли']","4,6",38.070257,54.89225
МБОУ Средняя общеобразовательная школа № 5 с углубленным изучением отдельных предметов,['Общеобразовательная школа'],,38.088099,54.887449
Школа № 6,['Общеобразовательная школа'],"4,0",38.107274,54.885817
МБДОУ детский сад № 9,"['Детский сад, ясли']","4,8",38.249169,54.845908
МАДОУ ЦРР д/с № 20 Дюймовочка,"['Детский сад, ясли']","4,5",38.069153,54.88257
МАДОУ д/с комбинированного вида № 26 Реченька,"['Детский сад, ясли']","4,6",38.05184,54.886474
МАДОУ детский сад общеразвивающего вида № 18 Теремок городского округа Ступино,"['Детский сад, ясли']","4,3",38.076276,54.893462
МБОУ СОШ № 2,['Общеобразовательная школа'],"3,9",38.107388,54.885798
Академия управления и производства,['Центр повышения квалификации'],,38.240329,54.842719
МБОУ Лицей № 2,['Лицей'],"3,9",38.081292,54.891843
МБДОУ детский сад № 1,"['Детский сад, ясли']","4,2",38.193408,54.840448
Приемная комиссия филиала Мфюа,['ВУЗ'],"3,9",38.055287,54.886123
МБОУ СОШ № 4,['Общеобразовательная школа'],"3,8",38.224958,54.88891
Мфюа,['ВУЗ'],"3,7",38.069635,54.893837
Российский новый университет,['ВУЗ'],"3,4",38.07309,54.88643
Фиалка,"['Детский сад, ясли']","4,6",38.227567,54.887493
Детский сад № 14,"['Детский сад, ясли']","4,7",38.249603,54.838891
МАДОУ ЦРР детский сад № 22 Журавушка,"['Детский сад, ясли']","4,7",38.063591,54.886369
Детский сад № 3,"['Детский сад, ясли']","4,4",38.238492,54.846907
Детский сад № 6,"['Детский сад, ясли']","4,4",38.243377,54.849844
МАДОУ детский сад общеразвивающего вида № 14 Подснежник,"['Детский сад, ясли']","4,4",38.076638,54.895454
МАДОУ ЦРР - детский сад № 21 Надежда,"['Детский сад, ясли']","4,5",38.064817,54.888607
МАДОУ детский сад № 10 городского округа Кашира,"['Детский сад, ясли']","4,4",38.242291,54.850134
МАДОУ детский сад № 13 Городского Округа Кашира,"['Детский сад, ясли']","4,4",38.243573,54.838187
Детский сад № 4,"['Детский сад, ясли']","4,4",38.242803,54.845189
ГБПОУ МО Ступинский техникум имени А. Т. Туманова,['Техникум'],"4,1",38.071958,54.88852
Центр развития ребенка - детский сад № 21 Надежда г. Ступино,"['Детский сад, ясли']","4,4",38.06181,54.889933
МАДОУ ДС общеразвивающего вида № 4 Ласточка,"['Детский сад, ясли']","4,2",38.081918,54.888364
Детский сад,"['Детский сад, ясли']","4,2",38.155205,54.898277
МАДОУ ЦРР детский сад № 25 Золотая Рыбка,['Центр развития ребёнка'],"4,5",38.061753,54.883473
Московская Финансово-Юридическая академия представительство г. Ступино,['ВУЗ'],,38.055366,54.886129
Тополек,"['Детский сад, ясли']","4,2",38.074822,54.886373
