name,tags,score,lat,lon
Белопесоцкий,['Железнодорожная станция'],,38.14302,54.869632
Платформа Акри,['Железнодорожная станция'],,38.119394,54.873179
Станция Кашира-Пассажирская,['Железнодорожная станция'],,38.189342,54.857535
Станция Кашира,"['Автовокзал, автостанция']",,38.188694,54.857087
Автостанция,"['Автовокзал, автостанция']",,38.192566,54.8563
Рынок,"['Автовокзал, автостанция']",,38.084852,54.889328
Новые дома,"['Автовокзал, автостанция']",,38.147918,54.826437
Дубок,"['Автовокзал, автостанция']",,38.059466,54.881723
Стадион,"['Автовокзал, автостанция']",,38.077839,54.883277
Автокэмп,"['Автовокзал, автостанция']",,38.062603,54.879242
ТЭЦ - 17,"['Автовокзал, автостанция']",,38.060394,54.901569
Ступино,['Железнодорожный вокзал'],,38.078793,54.90815
Автозапчасти,"['Автовокзал, автостанция']",,38.165733,54.82623
Велопарковка,['Велопарковка'],,38.151153,54.83466
Платформа Тесна,['Железнодорожная станция'],,38.24375,54.83033
Велопарковка,['Велопарковка'],,38.078573,54.883254
Велопарковка,['Велопарковка'],,38.057774,54.885033
Велопарковка,['Велопарковка'],,38.052526,54.885445
Велопарковка,['Велопарковка'],,38.245919,54.836909
