h3_cell,hex_emb,cluster
8911810832fffff,"[ 9.27948143e-02  1.21898114e-01  2.62228871e-01  7.14701238e-04
  8.60450428e-01  5.52713372e-01  2.26576913e-01  1.71644644e-01
  2.92695089e-02  3.30075625e-01  1.77046456e-01  4.84118674e-01
  8.19961772e-01  5.26668329e-01 -3.70880080e-01  0.00000000e+00
  1.03698163e-01 -1.68536525e-02  2.94889055e-01  6.87875010e-01
  3.12906175e-01  2.20327433e-01  1.50785340e-01  2.49463974e-01
  1.77977229e-01  1.42641070e-01 -2.66566941e-01  8.27058921e-02
  4.44278235e-02  3.17310729e-01  7.77445359e-01  2.24150253e-01
  4.77653121e-01 -7.94149422e-02  6.89936009e-02  3.22247154e-01
  9.37422089e-02  6.98794980e-01  7.33300091e-01  3.33333333e-01
  3.22396742e-01  3.35710130e-01  7.26502119e-01  2.99260367e-01
  2.41386188e-01  5.93484584e-01  7.85722596e-01  6.02592870e-01
  4.96634256e-01  1.22878750e-01  1.35028671e-01  3.04828389e-02
  2.65935344e-04  6.94091249e-02  1.48375301e-01  2.57608244e-01
  1.70447935e-01  8.43031663e-01  2.99177263e-04  1.34712873e-01
  3.07770298e-01  2.32061830e-01  2.86861132e-01  5.72093410e-01
  5.30391424e-01  2.31779274e-01 -2.61048783e-01  4.01761822e-01
  7.53760492e-01 -2.29867863e-02  2.83354110e-01  3.11992022e-01
  7.28895537e-01  3.03249397e-01  1.36840356e-01 -6.75641985e-02
  3.69085016e-01  1.78841519e-01 -6.63176265e-02 -4.90983130e-02
  2.05983545e-01]",1
8911810836fffff,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan]",1
89118108803ffff,"[ 9.27948143e-02 -2.11435220e-01  2.62228871e-01  3.34048035e-01
  8.60450428e-01  5.52713372e-01  5.59910247e-01  1.71644644e-01
  2.92695089e-02  3.30075625e-01  1.77046456e-01  8.17452007e-01
  8.19961772e-01  5.26668329e-01 -3.70880080e-01  0.00000000e+00
  7.70364830e-01  6.49813014e-01  6.28222388e-01  6.87875010e-01
  6.46239508e-01 -4.46339234e-01  8.17452007e-01 -8.38693593e-02
 -1.55356104e-01 -1.90692263e-01  4.00099726e-01 -5.83960775e-01
  4.44278235e-02 -6.82689271e-01  7.77445359e-01  2.24150253e-01
  4.77653121e-01  2.53918391e-01  6.89936009e-02 -3.44419513e-01
  4.27075542e-01 -3.01205020e-01  7.33300091e-01  0.00000000e+00
  3.22396742e-01  6.69043464e-01 -2.73497881e-01 -3.40729660e-02
  2.41386188e-01  5.93484584e-01  7.85722596e-01  6.02592870e-01
 -5.03365744e-01  1.22878750e-01  1.35028671e-01  3.04828389e-02
  2.65935344e-04  6.94091249e-02  1.48375301e-01  2.57608244e-01
  1.70447935e-01  8.43031663e-01  2.99177263e-04  1.34712873e-01
  3.07770298e-01  2.32061830e-01  2.86861132e-01  5.72093410e-01
  5.30391424e-01  2.31779274e-01  4.05617884e-01  7.35095155e-01
  7.53760492e-01  3.10346547e-01  2.83354110e-01 -6.88007978e-01
 -2.71104463e-01  6.36582731e-01 -5.29826311e-01 -7.34230865e-01
  3.69085016e-01  1.78841519e-01  2.67015707e-01  2.84235020e-01
  2.05983545e-01]",1
8911810880bffff,"[ 9.27948143e-02  7.88564780e-01  2.62228871e-01 -6.65951965e-01
 -1.39549572e-01  5.52713372e-01  5.59910247e-01  1.71644644e-01
  2.92695089e-02  3.30075625e-01  1.77046456e-01 -1.82547993e-01
  8.19961772e-01  5.26668329e-01  6.29119920e-01  0.00000000e+00
  7.70364830e-01  6.49813014e-01  6.28222388e-01  6.87875010e-01
 -3.53760492e-01  5.53660766e-01  8.17452007e-01 -8.38693593e-02
 -1.55356104e-01  8.09307737e-01  4.00099726e-01 -5.83960775e-01
  4.44278235e-02  3.17310729e-01  7.77445359e-01  2.24150253e-01
  4.77653121e-01  2.53918391e-01  6.89936009e-02  6.55580487e-01
  4.27075542e-01  6.98794980e-01  7.33300091e-01  1.00000000e+00
  3.22396742e-01  6.69043464e-01  7.26502119e-01  9.65927034e-01
  2.41386188e-01  5.93484584e-01  7.85722596e-01 -3.97407130e-01
 -5.03365744e-01  1.22878750e-01  1.35028671e-01  3.04828389e-02
 -9.99734065e-01  6.94091249e-02  1.48375301e-01  2.57608244e-01
  1.70447935e-01  8.43031663e-01  2.99177263e-04  1.34712873e-01
  3.07770298e-01  2.32061830e-01  2.86861132e-01  5.72093410e-01
  5.30391424e-01  2.31779274e-01  4.05617884e-01  7.35095155e-01
 -2.46239508e-01  3.10346547e-01  2.83354110e-01 -6.88007978e-01
  7.28895537e-01  6.36582731e-01  4.70173689e-01  2.65769135e-01
  3.69085016e-01  1.78841519e-01  2.67015707e-01  2.84235020e-01
 -7.94016455e-01]",2
8911810880fffff,"[-2.40538519e-01  4.55231447e-01 -7.11044627e-02  7.14701238e-04
  1.93783761e-01  5.52713372e-01  5.59910247e-01  1.71644644e-01
  2.92695089e-02  3.30075625e-01  1.77046456e-01  4.84118674e-01
  4.86628438e-01  5.26668329e-01 -3.75467464e-02  0.00000000e+00
  1.03698163e-01  3.16479681e-01  2.94889055e-01  3.54541677e-01
  6.46239508e-01  5.53660766e-01  1.50785340e-01  5.82797307e-01
  8.44643896e-01  1.42641070e-01  4.00099726e-01  8.27058921e-02
  4.44278235e-02 -1.60226045e-02  4.44112025e-01  2.24150253e-01
  1.44319787e-01  2.53918391e-01  6.89936009e-02  6.55580487e-01
  9.37422089e-02  6.98794980e-01  7.33300091e-01  6.66666667e-01
 -1.09365910e-02  6.69043464e-01  5.98354525e-02  2.99260367e-01
 -7.58613812e-01  2.60151251e-01 -2.14277404e-01  2.69259536e-01
  4.96634256e-01  1.22878750e-01 -1.98304662e-01 -3.02850494e-01
  2.65935344e-04  6.94091249e-02 -1.84958032e-01  2.57608244e-01
  1.70447935e-01  1.76364996e-01  2.99177263e-04  1.34712873e-01
  3.07770298e-01 -1.01271503e-01  2.86861132e-01  2.38760076e-01
  1.97058090e-01 -1.01554060e-01  7.22845508e-02  4.01761822e-01
  8.70938253e-02  3.10346547e-01  2.83354110e-01 -2.13413114e-02
  7.28895537e-01  3.03249397e-01  1.36840356e-01  2.65769135e-01
  3.69085016e-01  1.78841519e-01 -6.63176265e-02  2.84235020e-01
  2.05983545e-01]",1
89118108813ffff,"[ 9.27948143e-02  7.88564780e-01  2.62228871e-01  3.34048035e-01
  8.60450428e-01  5.52713372e-01  5.59910247e-01  1.71644644e-01
  2.92695089e-02  3.30075625e-01 -1.56286878e-01  4.84118674e-01
  4.86628438e-01  5.26668329e-01  6.29119920e-01  0.00000000e+00
  7.70364830e-01  6.49813014e-01  6.28222388e-01  6.87875010e-01
  6.46239508e-01  2.20327433e-01  8.17452007e-01  5.82797307e-01
  8.44643896e-01  8.09307737e-01  4.00099726e-01  8.27058921e-02
  4.44278235e-02  3.17310729e-01  1.10778692e-01  2.24150253e-01
  4.77653121e-01  2.53918391e-01  6.89936009e-02  6.55580487e-01
  9.37422089e-02  3.65461647e-01  3.99966758e-01  6.66666667e-01
  3.22396742e-01  6.69043464e-01  7.26502119e-01  2.99260367e-01
 -4.25280479e-01  5.93484584e-01 -2.14277404e-01 -6.40737971e-02
  4.96634256e-01  1.22878750e-01  1.35028671e-01  3.04828389e-02
  2.65935344e-04  6.94091249e-02  1.48375301e-01 -7.57250893e-02
 -1.62885398e-01  8.43031663e-01  2.99177263e-04  1.34712873e-01
  3.07770298e-01  2.32061830e-01 -4.64722014e-02  5.72093410e-01
  1.97058090e-01 -1.01554060e-01  4.05617884e-01  6.84284883e-02
  8.70938253e-02  3.10346547e-01  2.83354110e-01  3.11992022e-01
  7.28895537e-01  6.36582731e-01  4.70173689e-01 -4.00897532e-01
  3.69085016e-01 -1.54491814e-01  2.67015707e-01 -4.90983130e-02
  2.05983545e-01]",2
89118108817ffff,"[ 9.27948143e-02  2.88564780e-01  2.62228871e-01  3.34048035e-01
  8.60450428e-01  5.52713372e-01  5.59910247e-01  1.71644644e-01
  2.92695089e-02  3.30075625e-01  1.77046456e-01  3.17452007e-01
  8.19961772e-01  5.26668329e-01  6.29119920e-01  0.00000000e+00
  7.70364830e-01  6.49813014e-01  6.28222388e-01  6.87875010e-01
  6.46239508e-01  5.53660766e-01  8.17452007e-01  4.16130641e-01
  8.44643896e-01  8.09307737e-01  4.00099726e-01 -8.39607745e-02
  4.44278235e-02  3.17310729e-01  7.77445359e-01  2.24150253e-01
 -5.22346879e-01  2.53918391e-01  6.89936009e-02  6.55580487e-01
  4.27075542e-01  6.98794980e-01  7.33300091e-01  5.00000000e-01
 -1.77603258e-01  1.69043464e-01  2.26502119e-01  4.65927034e-01
 -2.58613812e-01  5.93484584e-01  2.85722596e-01  6.02592870e-01
 -3.36574420e-03  1.22878750e-01  1.35028671e-01  3.04828389e-02
  2.65935344e-04  6.94091249e-02 -3.51624699e-01  2.57608244e-01
  1.70447935e-01  3.43031663e-01  2.99177263e-04 -3.65287127e-01
 -1.92229702e-01  2.32061830e-01  2.86861132e-01  5.72093410e-01
  5.30391424e-01 -2.68220726e-01 -9.43821158e-02  2.35095155e-01
  7.53760492e-01  3.10346547e-01  2.83354110e-01  3.11992022e-01
  7.28895537e-01  6.36582731e-01 -2.98263110e-02 -2.34230865e-01
 -1.30914984e-01  1.78841519e-01 -2.32984293e-01 -2.15764980e-01
  2.05983545e-01]",2
8911810881bffff,"[ 0.03029481  0.60106478  0.07472887 -0.29095197  0.36045043  0.42771337
  0.49741025 -0.14085536  0.02926951 -0.35742437 -0.44795354  0.25495201
  0.31996177  0.52666833  0.25411992  0.          0.39536483  0.46231301
  0.44072239  0.62537501  0.33373951  0.24116077  0.25495201 -0.08386936
  0.6571439   0.30930774  0.21259973 -0.27146077 -0.01807218  0.19231073
 -0.22255464  0.16165025  0.16515312  0.00391839 -0.0560064   0.03058049
  0.17707554  0.69879498  0.60830009  0.          0.07239674  0.41904346
  0.41400212  0.21592703 -0.13361381  0.46848458 -0.0267774  -0.20990713
  0.18413426  0.12287875  0.07252867 -0.03201716 -0.06223406 -0.18059088
  0.0858753  -0.55489176 -0.20455207  0.40553166 -0.18720082 -0.17778713
 -0.1922297  -0.14293817 -0.27563887  0.44709341  0.09289142 -0.08072073
  0.09311788  0.23509515  0.44126049  0.12284655  0.09585411 -0.56300798
  0.47889554  0.38658273  0.03267369 -0.04673087 -0.00591498  0.11634152
 -0.17048429 -0.27826498  0.14348355]",0
89118108823ffff,"[ 9.27948143e-02  2.33009225e-01  1.51117759e-01 -5.54840854e-01
  6.38228206e-01  4.41602260e-01  3.37688025e-01  1.71644644e-01
 -8.18416023e-02  1.07853403e-01 -3.78509100e-01  4.84118674e-01
  8.19961772e-01  4.15557218e-01  1.84675476e-01  0.00000000e+00
  1.03698163e-01  2.05368570e-01  2.94889055e-01  4.65652788e-01
  3.12906175e-01  4.42549655e-01 -7.14368819e-02 -8.38693593e-02
  1.77977229e-01  1.42641070e-01 -4.43447187e-02 -2.50627441e-01
  4.44278235e-02  2.06199618e-01  3.33000914e-01  1.92803125e-03
  2.55430898e-01  1.42807280e-01  6.89936009e-02 -1.10861797e-02
  3.15964431e-01  6.98794980e-01  6.22188980e-01  6.66666667e-01
  3.22396742e-01  2.24599019e-01  5.04279897e-01  7.70381451e-02
  1.30275077e-01  4.82373473e-01  4.52389263e-01  1.58148425e-01
  1.63300922e-01  1.22878750e-01  1.35028671e-01  3.04828389e-02
  2.65935344e-04  6.94091249e-02 -1.84958032e-01 -2.97947312e-01
 -1.62885398e-01  6.20809441e-01 -1.10811934e-01  1.34712873e-01
  8.55480761e-02  2.32061830e-01  6.46389097e-02  5.72093410e-01
  4.19280312e-01 -5.45998504e-01  2.94506773e-01  2.90650711e-01
  5.31538270e-01  3.10346547e-01  1.72242998e-01 -1.32452423e-01
  7.28895537e-01 -3.00839358e-02  1.36840356e-01  1.54658024e-01
  3.57516829e-02  6.77304080e-02  4.47934846e-02  6.20127981e-02
  2.05983545e-01]",1
89118108827ffff,"[ 9.27948143e-02  7.88564780e-01  2.62228871e-01 -6.65951965e-01
  8.60450428e-01  5.52713372e-01  5.59910247e-01  1.71644644e-01
 -2.20730491e-01  8.00756254e-02 -3.22953544e-01  5.67452007e-01
  5.69961772e-01  5.26668329e-01  6.29119920e-01  0.00000000e+00
  7.70364830e-01  6.49813014e-01  6.28222388e-01  6.87875010e-01
  3.96239508e-01  5.53660766e-01  8.17452007e-01  9.16130641e-01
  8.44643896e-01  8.09307737e-01  4.00099726e-01  1.66039225e-01
  4.44278235e-02  6.73107288e-02  5.27445359e-01 -2.58497465e-02
 -2.23468794e-02  3.91839109e-03  6.89936009e-02  4.05580487e-01
  4.27075542e-01  4.48794980e-01  4.83300091e-01  2.50000000e-01
  7.23967423e-02  6.69043464e-01  4.76502119e-01  7.15927034e-01
  2.41386188e-01  5.93484584e-01  5.35722596e-01  3.52592870e-01
  2.46634256e-01  1.22878750e-01  1.35028671e-01  3.04828389e-02
  2.65935344e-04  6.94091249e-02  1.48375301e-01 -2.42391756e-01
 -7.95520652e-02  3.43031663e-01  2.99177263e-04  1.34712873e-01
  5.77702983e-02  2.32061830e-01  2.86861132e-01  5.72093410e-01
  5.30391424e-01 -2.68220726e-01  4.05617884e-01  7.35095155e-01
  5.03760492e-01  3.10346547e-01  2.83354110e-01  6.19920219e-02
  2.28895537e-01  6.36582731e-01 -2.98263110e-02 -2.34230865e-01
  3.69085016e-01  1.78841519e-01  1.70157068e-02  3.42350204e-02
  2.05983545e-01]",2
